address,city,province,postal_code,parcel_id,property_type,assessed_value,year_built,building_size,lot_size,last_sale_date,last_sale_price,owner_name,transfer_date,document_number
123 King St W,Toronto,ON,M5H 1A1,PID-001,Duplex,480000,1965,1800,3200,2010-06-15,420000,Mehdi Holdings Inc.,2010-06-15,DOC-2010-0001
456 Queen St E,Toronto,ON,M4M 1T1,PID-002,Triplex,620000,1958,2400,4000,2008-03-22,510000,Mehdi Holdings Inc.,2008-03-22,DOC-2008-0017
789 Dundas St W,Toronto,ON,M6J 1T4,PID-003,Single Family,750000,1990,2100,3500,2019-11-01,700000,Jane Smith,2019-11-01,DOC-2019-0334
22 Main St N,Hamilton,ON,L8R 1A1,PID-004,Apartment Building,1200000,1972,8500,9000,2005-07-30,900000,Lakeview Properties Ltd.,2005-07-30,DOC-2005-0211
88 Elm Ave,Hamilton,ON,L8P 2K3,PID-005,Single Family,390000,2001,1600,2800,2021-04-10,375000,Robert & Mary Chen,2021-04-10,DOC-2021-0089
14 Rideau St,Ottawa,ON,K1N 5X7,PID-006,Duplex,510000,1978,1950,3100,2011-09-05,440000,Capital Region Rentals,2011-09-05,DOC-2011-0156
300 Commissioners Rd,London,ON,N6J 1Y4,PID-007,Triplex,430000,1969,2200,3800,2009-12-18,360000,Capital Region Rentals,2009-12-18,DOC-2009-0278
55 Park St,Kitchener,ON,N2G 1N1,PID-008,Mixed Use,680000,1985,3200,5000,2013-02-27,580000,Waterloo Commercial Inc.,2013-02-27,DOC-2013-0045
9 Lakeshore Blvd,Toronto,ON,M8V 1A3,PID-009,Condo,420000,2005,900,,2022-07-14,415000,Alice Nguyen,2022-07-14,DOC-2022-0501
77 Barton St E,Hamilton,ON,L8L 2W9,PID-010,Fourplex,560000,1962,3000,4200,2007-05-03,480000,Barton Street Holdings,2007-05-03,DOC-2007-0188
200 Bloor St W,Toronto,ON,M5S 1T8,PID-011,Apartment Building,2100000,1968,15000,12000,2003-08-14,1500000,Metro Rental Group,2003-08-14,DOC-2003-0099
45 Wellington St,Ottawa,ON,K1A 0A9,PID-012,Mixed Use,890000,1980,4500,6000,2012-05-20,750000,Metro Rental Group,2012-05-20,DOC-2012-0201
1001 Bay St,Toronto,ON,M5S 3A6,PID-013,Condo,550000,2010,1100,,2020-03-15,530000,David Park,2020-03-15,DOC-2020-0045
67 Concession St,Hamilton,ON,L9A 1B1,PID-014,Duplex,320000,1955,1700,2900,2006-11-30,270000,Hamilton Rentals Corp.,2006-11-30,DOC-2006-0312
890 Wonderland Rd N,London,ON,N6H 4L1,PID-015,Single Family,410000,1998,1900,3600,2018-07-22,395000,Sarah Johnson,2018-07-22,DOC-2018-0178
33 Frederick St,Kitchener,ON,N2H 2M4,PID-016,Triplex,370000,1963,2100,3400,2010-04-08,310000,Hamilton Rentals Corp.,2010-04-08,DOC-2010-0234
500 Laurier Ave W,Ottawa,ON,K1R 5J3,PID-017,Commercial,1450000,1975,9000,11000,2001-06-01,1100000,Federal Capital Properties,2001-06-01,DOC-2001-0056
12 Maple Ave,Barrie,ON,L4N 1W1,PID-018,Single Family,350000,2003,1750,3100,2023-01-10,345000,Michael Torres,2023-01-10,DOC-2023-0012
88 Ontario St,Kingston,ON,K7L 2Y3,PID-019,Duplex,295000,1970,1650,2700,2009-09-14,240000,Kingston Property Group,2009-09-14,DOC-2009-0445
250 King St E,Kitchener,ON,N2G 2L3,PID-020,Apartment Building,780000,1966,6000,7500,2004-03-25,620000,Waterloo Commercial Inc.,2004-03-25,DOC-2004-0089
